X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CIRBP,0,-0.329365305235063,0.702,0.704,0
EZR,0,-0.299332438109885,0.775,0.769,0
HNRNPA1,0,-0.335249164178025,0.655,0.667,0
LAPTM5,0,-0.368018934439974,0.878,0.889,0
LYZ,0,-0.783079500924145,0.11,0.083,0
RBM3,0,-0.392597777451287,0.563,0.583,0
RHOH,0,-0.31470052225631,0.576,0.584,0
SNX9,0,-0.629296832773028,0.332,0.392,0
TXNIP,0,-0.345935046738359,0.838,0.839,0
UBC,0,-0.33125437518256,0.838,0.852,0
H3F3B,4.1427579138e-312,-0.305220075087116,0.866,0.878,1.24974577985632e-307
TAGAP,1.184554570566e-311,-0.342785018690098,0.585,0.595,3.57344577302597e-307
EMP3,1.28770055696055e-308,-0.311007970610246,0.55,0.542,3.88460627018288e-304
DAZAP2,2.68516850907054e-298,-0.258145271169758,0.603,0.593,8.1003478413131e-294
FTL,1.44277713869272e-292,-0.286298222987781,0.857,0.887,4.35242579429432e-288
HSP90AB1,3.87528345664868e-285,-0.274124283124839,0.807,0.795,1.16905676036721e-280
BZW1,1.11079600122415e-267,-0.307822355712578,0.324,0.338,3.35093829689288e-263
PMAIP1,5.05168149079492e-265,-0.359593032111036,0.225,0.255,1.5239407553281e-260
EEF2,1.16308107192642e-251,-0.285226204464828,0.878,0.879,3.50866666968044e-247
RHOG,2.64939782707281e-251,-0.263412093491283,0.271,0.275,7.99243842493054e-247
HMGB2,1.75570695299376e-242,-0.283979878714457,0.218,0.232,5.29644116509627e-238
RPL4,2.19974256786129e-235,-0.262048993560413,0.839,0.857,6.63596340446716e-231
NFKB1,3.1322085775678e-212,-0.370644974215788,0.334,0.355,9.44893361594877e-208
GAPDH,5.03698617895479e-211,-0.273638942195541,0.647,0.65,1.51950762060529e-206
ZFP36L1,4.504102086924e-210,-0.267302996596603,0.672,0.655,1.35875247656236e-205
FP671120.4,1.14572329809137e-193,-0.497777569298038,0.268,0.287,3.45630347335223e-189
TAGLN2,1.06195178275703e-186,-0.302201300088913,0.664,0.682,3.20358994304312e-182
SRGN,2.85949665025535e-174,-0.251010551219347,0.164,0.163,8.62624354482533e-170
DHFR,1.08070963164541e-152,-0.423326906091448,0.086,0.101,3.26017674578471e-148
SLC49A4,9.08286587770078e-111,-0.29590275153232,0.129,0.15,2.74002814932599e-106
GABPB1,3.48688157764708e-106,-0.27086790233939,0.142,0.163,1.05188756552879e-101
AC105402.3,3.8608314487014e-79,-0.581257399210543,0.347,0.364,1.16469702312975e-74
