X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC004448.2,0,1.83179598028278,0.185,0.016,0
APBB1IP,0,0.324315680742464,0.421,0.28,0
ARHGAP17,0,0.316724287417579,0.295,0.179,0
ARL6IP4,0,0.286437232971842,0.268,0.155,0
ATP6V0C,0,0.300145547622736,0.256,0.144,0
CALM1,0,0.253009674754162,0.531,0.398,0
CD55,0,0.331692389626197,0.495,0.364,0
DDX17,0,0.331725545849818,0.473,0.335,0
EIF3F,0,0.439405262063326,0.439,0.29,0
FCMR,0,0.401404891410143,0.637,0.472,0
FTH1,0,0.477886437432995,0.599,0.414,0
GNG7,0,0.313920871558133,0.539,0.405,0
IDS,0,0.484125505506365,0.307,0.18,0
IER2,0,0.34609949040649,0.523,0.375,0
JTB,0,0.28421771451181,0.227,0.124,0
JUNB,0,0.898916796013238,0.644,0.437,0
KLF2,0,0.365968614692145,0.368,0.222,0
LBH,0,0.317877100263746,0.358,0.219,0
LTB,0,0.314066696725381,0.847,0.734,0
PDIA3,0,0.349401403066274,0.276,0.164,0
PFN1,0,0.570193382376333,0.434,0.243,0
PPP1CC,0,0.314061320221767,0.234,0.129,0
RALGPS2,0,0.430674499641889,0.733,0.597,0
RIPOR2,0,0.34120939682871,0.778,0.635,0
RNASET2,0,0.472035040471454,0.367,0.211,0
RPL13,0,0.555134330104105,0.866,0.796,0
RPS2,0,0.327737946987108,0.604,0.444,0
SARAF,0,0.368370403912524,0.632,0.477,0
SYNGR2,0,0.418999136668136,0.288,0.161,0
TNFAIP8,0,0.274349261406684,0.507,0.374,0
TPD52,0,0.367747360582476,0.422,0.284,0
TRIR,0,0.534632235748237,0.321,0.161,0
UBE2D2,0,0.369949159232619,0.432,0.278,0
VIM,0,0.442092651307055,0.484,0.323,0
YWHAB,0,0.261991557129315,0.487,0.352,0
PARP1,1.3997e-320,0.256608202576347,0.377,0.259,4.2224387e-316
ALOX5,7.125521357e-314,0.253347496094878,0.312,0.204,2.14955602769738e-309
ITGA4,5.608323178922e-311,0.278900202098317,0.466,0.342,1.69186285338535e-306
MARCH1,8.20357567408872e-308,0.320817372844689,0.577,0.447,2.47477267360235e-303
SMDT1,8.62945678641399e-308,0.253544330827055,0.378,0.26,2.60324822875751e-303
NCF1,6.32157605181141e-301,0.264830827604789,0.577,0.448,1.90702984754995e-296
ST6GAL1,2.69972536162172e-299,0.282014727924444,0.512,0.387,8.14426149840423e-295
PAK2,1.54657334890555e-297,0.251913230925586,0.317,0.209,4.66554782164338e-293
SIPA1L3,3.23864386883974e-296,0.349748869480403,0.423,0.302,9.77001695912886e-292
JUN,2.94117683188416e-293,0.413761289333746,0.734,0.635,8.87264814874495e-289
UVRAG,1.17455453823831e-292,0.321022532409676,0.486,0.363,3.54327867550351e-288
FLI1,5.30127370369351e-289,0.260554512229317,0.36,0.249,1.59923523819322e-284
NIBAN3,4.0971197579017e-283,0.254931595383583,0.646,0.523,1.23597811736621e-278
PACS1,1.1319000247005e-282,0.312900568847893,0.472,0.352,3.41460280451399e-278
PTPRCAP,1.17404131773955e-276,0.339226320591099,0.471,0.35,3.54173044322491e-272
EPB41,4.78559418668138e-274,0.259000476502666,0.406,0.294,1.44367019829617e-269
IKZF1,3.19314399650748e-273,0.255762699914645,0.475,0.359,9.63275749426412e-269
PPP3CC,1.77828228136852e-256,0.261699664395386,0.292,0.193,5.36454415820443e-252
PDE7A,3.72357644716831e-246,0.29396251726746,0.4,0.292,1.12329130681726e-241
ADAM19,3.33540987630536e-238,0.308504525576797,0.341,0.24,1.00619309738504e-233
IKZF3,6.62354010614853e-238,0.255403703685364,0.513,0.401,1.99812334382183e-233
ZCCHC7,2.59864865883693e-237,0.272617903373416,0.635,0.523,7.83934340911337e-233
MBNL1,1.5837896064031e-236,0.273622917512103,0.763,0.66,4.77781810563623e-232
BCL11A,1.7485693551465e-234,0.262860999816737,0.359,0.258,5.27490917367046e-230
KLF6,3.6662916198163e-228,0.324093103295068,0.59,0.479,1.10601019294998e-223
FOS,6.44623597895204e-208,0.374751375987399,0.814,0.742,1.94463600777046e-203
OSBPL10,4.26600017916899e-207,0.341720951662393,0.433,0.329,1.28692427404991e-202
MAML2,1.06005679919783e-199,0.281837468575303,0.443,0.344,3.1978733461401e-195
FCHSD2,3.50416482578387e-199,0.28853610983211,0.602,0.498,1.05710140299422e-194
KHDRBS2,5.45211741770208e-190,0.303708317177212,0.339,0.249,1.64474026139819e-185
DIP2B,1.02791247424359e-189,0.258412467998745,0.278,0.194,3.10090356105064e-185
RANBP2,1.56908623665768e-184,0.251499262577591,0.306,0.22,4.73346245012523e-180
ARHGAP24,5.06573884334512e-181,0.343249956152695,0.52,0.42,1.52818143687192e-176
RUNX1,2.54305510981029e-169,0.259657645297431,0.285,0.205,7.67163434976471e-165
PPP3CA,1.13859701316651e-160,0.275442970142772,0.465,0.374,3.43480560961941e-156
MAP3K8,4.01662093121674e-159,0.261405579898834,0.262,0.186,1.21169403632015e-154
BANK1,8.16556766794276e-151,0.273516852346906,0.835,0.772,2.46330679838829e-146
TBC1D9,2.77324635602648e-132,0.25992297320178,0.253,0.184,8.36605228222508e-128
TCL1A,1.26234501262579e-104,0.259175871671818,0.4,0.327,3.80811619958823e-100
