X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RBFOX2,8.33478050389036e-221,0.392882977119554,0.451,0.451,2.51435323460861e-216
NFKB1,1.5100348619382e-199,0.571945902262989,0.387,0.282,4.55532216800896e-195
SNX9,7.21407240949769e-198,0.592572707383361,0.417,0.316,2.17626922377317e-193
UBC,3.94868716008108e-196,0.340551335456095,0.869,0.816,1.19120045558166e-191
CD83,7.58219970563063e-159,0.366391753820985,0.696,0.63,2.28732218519759e-154
CD69,1.18040109872577e-146,0.39326102199319,0.73,0.679,3.56091599452603e-142
H3F3B,2.65237855048902e-140,0.271398316283777,0.891,0.852,8.00143037326023e-136
RBM3,4.69406173784017e-111,0.323424357778712,0.593,0.532,1.41605760445424e-106
CDKN1A,5.38561185015405e-104,0.375889919420471,0.134,0.081,1.62467752683597e-99
RPS10,4.79484755700274e-103,0.278657908562447,0.343,0.322,1.44646166252102e-98
RGS2,1.76357112783764e-101,0.395017129609507,0.217,0.152,5.32016502134782e-97
RPS4Y1,3.20647553441415e-93,0.317679667078385,0.382,0.297,9.67297474466716e-89
HSP90AB1,1.13454833842056e-92,0.272025858905451,0.8,0.768,3.42259197251329e-88
LAPTM5,2.10621152730165e-91,0.271080915457245,0.895,0.863,6.3538083144109e-87
NFKBIA,5.17412599392246e-87,0.315534578697693,0.308,0.241,1.56087858858659e-82
DUSP1,8.74527337965557e-87,0.367864245060868,0.342,0.31,2.63818662044069e-82
HLA-DQB1,1.54323389412128e-81,0.254913723378688,0.762,0.735,4.65547368839567e-77
GADD45B,5.95383094406433e-78,0.317523606387356,0.31,0.248,1.79609218089589e-73
BZW1,7.54937765258969e-66,0.292196065505584,0.351,0.293,2.27742075645673e-61
KDM6B,8.6441529078649e-58,0.299009224493794,0.22,0.171,2.60768160771561e-53
DDX21,5.12132422199362e-57,0.259298113566869,0.398,0.343,1.54494987804881e-52
PMAIP1,2.13206809580122e-56,0.287745067291028,0.265,0.215,6.43180982460355e-52
BACH1,4.43121844699479e-53,0.257430020999011,0.295,0.239,1.33676566890492e-48
FP671120.4,1.28268678337167e-46,0.363852985415265,0.283,0.288,3.86948121939731e-42
GABPB1,1.18060462939358e-40,0.250409306692677,0.167,0.128,3.56152998549161e-36
IGLV1-44,6.68907217429772e-7,0.30624868788076,0.09,0.101,0.0201789240282039
