X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LYZ,2.98998172360196e-302,-1.30180648287533,49,104,9.01987786559002e-298
RPLP1,1.6151749503251e-239,-0.268824203553451,0.9,951,4.87249827264573e-235
RPS21,1.9467530680985e-220,-0.319907828102812,811,821,5.87276998053274e-216
RPLP2,1.73751057727936e-202,-0.290513987620259,822,871,5.24154815847866e-198
RPL36,1.07226134497903e-200,-0.288462714192193,802,811,3.23469079939824e-196
RPL36A,2.50521506194558e-189,-0.305594348364358,693,714,7.55748227737123e-185
RPL37A,3.75621725290846e-163,-0.265953638070684,753,763,1.13313805868489e-158
RPL37,1.88000180116352e-161,-0.278723523967955,845,853,5.67140143357e-157
RPL39,1.27226231471979e-154,-0.260907792805106,862,859,3.83803372481521e-150
S100A6,1.22477262674544e-151,-0.521837572305857,278,326,3.69477158310296e-147
ATP5F1E,9.76232935911899e-147,-0.339575994463818,508,0.55,2.94500189776542e-142
RBFOX2,5.52286743494805e-145,-0.336743551717633,454,451,1.66608341910078e-140
OAZ1,9.35599989487524e-142,-0.287316821289405,676,0.74,2.82242448828701e-137
FTH1,6.69973868036273e-131,-0.416803028396956,409,372,2.02111016770502e-126
MT-ND3,8.32453691241794e-130,-0.334214501033885,808,819,2.51126305036912e-125
RPL34,7.29429507216389e-118,-0.255176507284765,888,894,2.20046999441968e-113
RPL41,1.23018016473938e-116,-0.458845243482755,675,699,3.7110845029693e-112
PFN1,1.24994909140847e-108,-0.39502152477193,216,235,3.77072142405192e-104
RPL38,1.27579806967491e-108,-0.283871661099218,566,597,3.84870003678829e-104
RPS27,1.06167478037791e-104,-0.258702773370677,905,908,3.20275430996604e-100
S100A4,3.30062068132526e-101,-0.48318910185621,251,286,9.95698240935393e-97
RPS29,1.06161551413844e-88,-0.306323656467145,653,668,3.20257552150142e-84
CYBA,9.7919793750074e-88,-0.302310490876784,0.46,514,2.95394641805848e-83
S100A11,6.54298082688652e-82,-0.325596555364988,0.07,101,1.97382102604686e-77
COTL1,3.24352163732956e-76,-0.286038190687207,147,161,9.78473172333208e-72
HCST,3.4976856068136e-73,-0.294436275696267,82,116,1.05514681700746e-68
FOS,1.89557010950536e-70,-0.286272523518484,717,744,5.71836634934482e-66
RPS2,1.87678843806152e-67,-0.35557532993732,432,423,5.6617076811002e-63
UQCR11,1.19449159614659e-66,-0.254286523115907,241,279,3.60342279809543e-62
VIM,3.88228820878725e-62,-0.278633747673749,283,292,1.17116988394485e-57
HIST1H1E,2.21121830397259e-51,-0.25136572007717,274,281,6.67058225759412e-47
SRGN,1.1316687285442e-49,-0.290855332061881,148,176,3.41390505339929e-45
S100A10,2.22771023686976e-48,-0.268526797045266,144,173,6.720333471565e-44
FP671120.4,2.0580240247686e-19,-0.255168030159661,289,283,6.20844107551943e-15
IGKV3-15,9.29761713586716e-7,-0.280796311675979,116,106,0.0280481216137705
