X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD69,1.30627822127386e-121,-0.319288752015102,0.673,0.739,3.94064951011687e-117
HLA-DRA,8.47446343888408e-116,-0.363055249504864,0.238,0.189,2.55649138560816e-111
H3F3B,8.27591176875793e-111,-0.264045000862359,0.927,0.938,2.49659430328121e-106
CXCR4,1.96993704516634e-91,-0.28329313034669,0.677,0.718,5.94270908415329e-87
CIRBP,7.90586231471114e-71,-0.25751864326896,0.76,0.801,2.38496148447891e-66
RBM3,1.58672884917306e-67,-0.26382582694891,0.586,0.649,4.78668491930036e-63
GAPDH,1.44824680163969e-63,-0.267094169671306,0.726,0.779,4.36892612650647e-59
NKG7,1.51026881610043e-60,-0.413365642623785,0.306,0.339,4.55602793753017e-56
CTSW,1.06124745044269e-56,-0.397270560009537,0.352,0.406,3.20146518375048e-52
GNLY,5.38659797538841e-56,-0.427128609450326,0.255,0.257,1.62497501123542e-51
DDIT4,1.64931049347875e-51,-0.270921402274794,0.379,0.443,4.97547496567735e-47
FP671120.4,1.1416880308323e-50,-0.253991553455688,0.122,0.108,3.44413028261179e-46
HLA-DRB1,9.11005523554298e-47,-0.332837691587349,0.197,0.19,2.74823036290625e-42
KLRB1,1.4129299928449e-36,-0.293646679901433,0.284,0.323,4.2623859094152e-32
MT-ND6,2.29453444355333e-34,-0.277181506452586,0.402,0.388,6.92192205586734e-30
EEF2,4.84829057937109e-30,-0.264909598368705,0.838,0.862,1.46258381907888e-25
CD74,1.89045241843407e-14,-0.414617136444505,0.614,0.635,5.70292781069005e-10
