X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
H3F3B,4.38218190121943e-120,-0.34075589023858,0.927,0.938,1.32197281414087e-115
ACTG1,1.53465480311344e-117,-0.316836716793807,0.832,0.876,4.6295931445523e-113
CXCR4,9.6007876693393e-110,-0.34364529106683,0.677,0.703,2.89626961620959e-105
CIRBP,8.31025299439015e-108,-0.358706794237042,0.76,0.802,2.50695402081768e-103
TXNIP,6.19849612816437e-96,-0.318744744487686,0.917,0.94,1.86990032698335e-91
CFL1,4.24942528210005e-92,-0.306720972598659,0.827,0.856,1.28192412485112e-87
CTSW,6.53552346681263e-91,-0.582012941977345,0.352,0.434,1.97157136423336e-86
RPS4Y1,1.53178678378763e-87,-0.396290956324444,0.443,0.553,4.62094119065213e-83
ARHGDIB,7.6294372395284e-84,-0.252994330250704,0.869,0.894,2.30157233204853e-79
NKG7,2.32434370156835e-82,-0.584491419582314,0.306,0.367,7.01184764452123e-78
RACK1,1.54476489763248e-81,-0.264849353723753,0.9,0.93,4.66009226668791e-77
RBM3,4.93957519955759e-81,-0.347057502085617,0.586,0.648,1.49012165045054e-76
BTF3,7.1817140844593e-80,-0.272964188997666,0.81,0.852,2.16650768785884e-75
RPLP0,1.85557281830578e-79,-0.316833868313653,0.889,0.921,5.59770652098306e-75
DDIT4,1.95227055732835e-79,-0.426175517811028,0.379,0.456,5.88941459029243e-75
FTL,3.71305999684151e-75,-0.273127669774485,0.884,0.908,1.12011880924718e-70
SRGN,9.0699708997999e-74,-0.282717186971188,0.672,0.699,2.73613812134264e-69
GAPDH,1.80075901752169e-73,-0.375699263782055,0.726,0.782,5.43234972815767e-69
ARL4C,8.0393895512241e-64,-0.253699302616135,0.592,0.601,2.42524264591777e-59
TYROBP,1.29509710314127e-61,-0.349744300211455,0.204,0.222,3.90691943104626e-57
MT-ND6,8.4651049592142e-60,-0.350728752651289,0.402,0.383,2.55366821304615e-55
PSME1,1.00178016907616e-57,-0.267190201900585,0.643,0.69,3.02207023605204e-53
HOPX,1.46912570355437e-56,-0.364688675679384,0.164,0.232,4.43191150991247e-52
GNLY,1.54817289774459e-56,-0.601721739416052,0.255,0.282,4.67037318062611e-52
CD63,1.60971886344462e-56,-0.323021993869086,0.273,0.343,4.85603889535337e-52
EEF2,1.65419772917528e-54,-0.409591251592668,0.838,0.86,4.99021828960308e-50
HSP90AB1,1.18814054463391e-53,-0.278047148510317,0.767,0.798,3.58426358099712e-49
FP671120.4,3.28875988901246e-52,-0.529999447749452,0.122,0.128,9.92120195718388e-48
FXYD5,2.40864691019292e-51,-0.360801501851523,0.719,0.772,7.26616513397898e-47
HIST1H1E,4.31779853546596e-51,-0.300831824827704,0.438,0.4,1.30255028419402e-46
P2RY8,2.52537498174022e-50,-0.260108525787487,0.65,0.667,7.61829870741571e-46
GZMA,3.69205013628436e-49,-0.359770207878808,0.252,0.314,1.1137807646129e-44
IRF1,2.51282449365863e-48,-0.266501504419444,0.44,0.482,7.58043765001998e-44
RPL4,6.23290443861891e-47,-0.272092372831643,0.874,0.903,1.88028028199817e-42
KLRB1,1.18359561980546e-44,-0.374200391364431,0.284,0.343,3.57055290626714e-40
CLIC1,1.93756476262185e-44,-0.261766956151025,0.445,0.504,5.84505161940132e-40
CD69,5.615524272387e-44,-0.276412620594821,0.673,0.705,1.69403520725099e-39
S100A4,7.16955022050553e-44,-0.257765879160728,0.664,0.689,2.1628382150199e-39
PPIB,4.79487146848196e-42,-0.259959608763828,0.567,0.613,1.44646887589695e-37
PDE4B,7.70642063038449e-40,-0.260283598099554,0.242,0.296,2.32479591156809e-35
IFITM2,1.82627174352422e-39,-0.25014793682073,0.637,0.676,5.50931396868952e-35
TRDC,4.37319291903655e-38,-0.29306128510092,0.113,0.165,1.31926110788575e-33
BZW1,2.44748953514864e-36,-0.270367121933785,0.431,0.478,7.38334168068292e-32
LAPTM5,2.09606452050206e-34,-0.284911697996901,0.716,0.739,6.32319783899855e-30
FGFBP2,2.49878705502641e-33,-0.360431087890692,0.135,0.182,7.53809090889817e-29
LDHA,2.42043730910488e-32,-0.26353218330146,0.44,0.49,7.3017332303767e-28
CCL5,6.22040272627024e-32,-0.3092925751199,0.306,0.333,1.87650889043394e-27
CST7,5.99741606654617e-31,-0.28518970617978,0.258,0.317,1.80924050479498e-26
GZMH,2.2143711365704e-30,-0.300785979876035,0.123,0.169,6.68009340769191e-26
TAGLN2,1.03726978622987e-28,-0.281249136163324,0.523,0.572,3.12913176411965e-24
KLRF1,3.91427571411877e-25,-0.2532110052862,0.126,0.166,1.18081955467821e-20
APOO,2.44441647748633e-20,-0.309081109144638,0.26,0.29,7.37407118763302e-16
ZFP36L1,2.63003364033403e-19,-0.277122995139603,0.444,0.458,7.93402248279566e-15
FP236383.3,3.51665594959624e-19,-0.304306716545203,0.297,0.305,1.0608696003147e-14
IFITM1,1.33713461318031e-13,-0.258107703656212,0.497,0.538,4.03373398758105e-9
