X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCR4,6.15653116735427e-120,0.397130670945645,0.703,0.685,1.85724075725576e-115
CIRBP,3.6628211857637e-110,0.364274582309347,0.802,0.775,1.10496326710933e-105
CNOT6L,6.28070043145179e-110,0.270451822364679,0.667,0.702,1.89469889915606e-105
IRF1,2.66475456346095e-100,0.383192688161177,0.482,0.445,8.03876509159264e-96
H3F3B,1.29028372287805e-96,0.327993673486556,0.938,0.925,3.89239890680621e-92
EEF2,2.54724465481436e-86,0.465923763070843,0.86,0.847,7.68427295017847e-82
IFITM1,2.71041854120434e-80,0.557622189900033,0.538,0.481,8.17651961325114e-76
ZNF331,2.34850827038153e-79,0.301123901264037,0.543,0.544,7.08474489925995e-75
RBM3,8.49271728836326e-78,0.323102737220032,0.648,0.622,2.56199802438054e-73
APOO,1.92004910997915e-74,0.599675881745295,0.29,0.213,5.79221215007409e-70
RPS4Y1,7.69273150169919e-74,0.441865324575017,0.553,0.472,2.3206663121176e-69
HLA-B,4.4134666879297e-62,0.275792520810374,0.971,0.962,1.33141049574775e-57
ZFP36,2.36698054531511e-61,0.437807162054617,0.498,0.485,7.1404702110521e-57
GADD45B,1.1112656922866e-59,0.312378404239712,0.342,0.336,3.352355213921e-55
COX4I1,3.9683797430757e-59,0.27430276036643497,0.845,0.827,1.19714111709365e-54
EEF1A1,3.38716534751655e-56,0.31290813975775,0.984,0.986,1.02180617038532e-51
RPL4,3.46351567460592e-53,0.294647384976382,0.903,0.889,1.04483877355837e-48
RPLP0,8.93800545174477e-52,0.315537730285099,0.921,0.915,2.69632810462784e-47
FXYD5,2.09859422407216e-51,0.366139428190293,0.772,0.754,6.3308291957585e-47
DDIT4,3.08084145643569e-50,0.311095525178452,0.456,0.436,9.29397442162956e-46
HIST1H1E,5.76129723578182e-49,0.273462112724233,0.4,0.433,1.7380105371183e-44
EIF3L,2.23838739785287e-47,0.258108420595644,0.554,0.551,6.75254326310275e-43
RBFOX2,3.60571707109028e-47,0.448827000440189,0.26,0.227,1.0877366688358e-42
EEF1D,1.13066520352832e-46,0.25885713647816,0.906,0.892,3.41087771948387e-42
FOS,1.56075102965249e-44,0.439208454096571,0.549,0.571,4.70831763115268e-40
MT-ATP8,1.46902354427568e-42,0.40001118797089,0.69,0.666,4.43160332601645e-38
CD3E,4.23528185247064e-42,0.279191680532191,0.73,0.724,1.27765747643482e-37
MT-ND4L,1.86991781307902e-41,0.386638255250576,0.778,0.762,5.64098106671547e-37
ZFP36L1,1.9252660235654e-41,0.261596635813262,0.458,0.473,5.80795001328974e-37
FP236383.3,7.15323053533992e-40,0.507507008203448,0.305,0.228,2.15791505559599e-35
GAPDH,3.35137501013047e-36,0.293112249051311,0.782,0.776,1.01100929930606e-31
MT-ND6,3.31055989502543e-35,0.264031079603479,0.383,0.358,9.98696603532321e-31
S1PR1,8.90807646704105e-33,0.285211308430311,0.25,0.226,2.68729942781227e-28
CTSW,2.26024641056479e-32,0.345552759638362,0.434,0.418,6.8184853467508e-28
ALDOA,3.72712175960286e-31,0.313973464723928,0.169,0.137,1.1243608212194e-26
FP671120.4,5.00196545405585e-24,0.52002913024119,0.128,0.091,1.50894291852503e-19
