Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response To Cadmium Ion (GO:0046686)	2/21	1.7762956108720302E-4	0.01630604729890984	0	0	123.60371517027863	1067.4182358063113	JUN;FOS
Cellular Response To Cadmium Ion (GO:0071276)	2/22	1.9528200357975852E-4	0.01630604729890984	0	0	117.41764705882353	1002.8718580525142	JUN;FOS
Integrated Stress Response Signaling (GO:0140467)	2/29	3.418661725917297E-4	0.019030550274272955	0	0	86.94553376906318	693.9202349386427	JUN;FOS
Positive Regulation Of miRNA Transcription (GO:1902895)	2/43	7.543579072186544E-4	0.02951205634959324	0	0	57.21664275466284	411.3672708004445	JUN;FOS
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	2/49	9.790903375910178E-4	0.02951205634959324	0	0	49.897371714643306	345.73323246011313	JUN;FOS
SMAD Protein Signal Transduction (GO:0060395)	2/51	0.0010603134017817932	0.02951205634959324	0	0	47.85594237695078	327.7744779803496	JUN;FOS
Regulation Of miRNA Transcription (GO:1902893)	2/59	0.0014164746328200488	0.03379303766870688	0	0	41.12280701754386	269.74851300087573	JUN;FOS
Response To Reactive Oxygen Species (GO:0000302)	2/66	0.0017687514504928004	0.036046442048283917	0	0	36.612132352941174	232.0287069409544	JUN;FOS
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	2/72	0.00210052068763106	0.036046442048283917	0	0	33.463865546218486	206.3238061147269	JUN;FOS
Cellular Response To Reactive Oxygen Species (GO:0034614)	2/73	0.002158469583729576	0.036046442048283917	0	0	32.99088649544325	202.50980060332466	JUN;FOS
Cytoplasmic Translation (GO:0002181)	2/93	0.003474178289899556	0.04695700945910458	0	0	25.714285714285715	145.60450177539863	RPL13;RPS2
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	2/96	0.0036969199300382516	0.04695700945910458	0	0	24.88986232790989	139.38958235666968	JUN;FOS
Hexose Import Across Plasma Membrane (GO:0140271)	1/5	0.00474139160939957	0.04695700945910458	0	0	277.4583333333333	1484.7973498875915	SLC2A3
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	0.00474139160939957	0.04695700945910458	0	0	277.4583333333333	1484.7973498875915	JUN
L-ascorbic Acid Metabolic Process (GO:0019852)	1/5	0.00474139160939957	0.04695700945910458	0	0	277.4583333333333	1484.7973498875915	SLC2A3
RNA Metabolic Process (GO:0016070)	2/111	0.004907737838735275	0.04695700945910458	0	0	21.448461953588776	114.04023181373678	RBFOX2;RNASET2
Response To Endoplasmic Reticulum Stress (GO:0034976)	2/114	0.005169080596996588	0.04695700945910458	0	0	20.87079831932773	109.88601459301385	PDIA3;JUN
Cellular Response To Oxidative Stress (GO:0034599)	2/117	0.005436736087067465	0.04695700945910458	0	0	20.323273657289004	105.97726282171071	JUN;FOS
Negative Regulation Of Ruffle Assembly (GO:1900028)	1/6	0.005687115738983334	0.04695700945910458	0	0	221.95555555555555	1147.4107993095174	ARHGAP24
Cellular Response To Laminar Fluid Shear Stress (GO:0071499)	1/6	0.005687115738983334	0.04695700945910458	0	0	221.95555555555555	1147.4107993095174	KLF2
Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	1/7	0.00663198906678106	0.04695700945910458	0	0	184.9537037037037	927.7001289942034	CD55
Fructose Transmembrane Transport (GO:0015755)	1/7	0.00663198906678106	0.04695700945910458	0	0	184.9537037037037	927.7001289942034	SLC2A3
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	2/130	0.006668692553049308	0.04695700945910458	0	0	18.247242647058822	91.42473384358023	JUN;FOS
Cellular Response To Metal Ion (GO:0071248)	2/135	0.007173331462956261	0.04695700945910458	0	0	17.556833259619637	86.68484681803552	JUN;FOS
Regulation Of DNA-templated Transcription Initiation (GO:2000142)	1/8	0.0075760122063041925	0.04695700945910458	0	0	158.52380952380952	774.0350338275504	JUN
Dehydroascorbic Acid Transport (GO:0070837)	1/8	0.0075760122063041925	0.04695700945910458	0	0	158.52380952380952	774.0350338275504	SLC2A3
Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000561)	1/9	0.008519185800335128	0.04695700945910458	0	0	138.70138888888889	660.9723846479391	CD55
Wound Healing, Spreading Of Epidermal Cells (GO:0035313)	1/9	0.008519185800335128	0.04695700945910458	0	0	138.70138888888889	660.9723846479391	ARHGAP24
Regulation Of Complement Activation (GO:0030449)	1/9	0.008519185800335128	0.04695700945910458	0	0	138.70138888888889	660.9723846479391	CD55
Response To Laminar Fluid Shear Stress (GO:0034616)	1/9	0.008519185800335128	0.04695700945910458	0	0	138.70138888888889	660.9723846479391	KLF2
Negative Regulation Of Sprouting Angiogenesis (GO:1903671)	1/10	0.009461510512395743	0.04695700945910458	0	0	123.28395061728395	574.5677163606151	KLF2
Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1/10	0.009461510512395743	0.04695700945910458	0	0	123.28395061728395	574.5677163606151	NR4A2
Peptide Biosynthetic Process (GO:0043043)	2/158	0.0097096917585614	0.04695700945910458	0	0	14.950980392156863	69.2922733473952	RPL13;RPS2
Cellular Response To Fluid Shear Stress (GO:0071498)	1/11	0.010402987018789436	0.04695700945910458	0	0	110.95	506.5602322657193	KLF2
