Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	9/93	5.120481025444972E-12	3.691866819345825E-9	0	0	44.328125	1152.4325193417124	RPL4;RPS4X;RPS26;RPL5;EIF4A1;RPL7A;RPL3;RACK1;RPSA
Translation (GO:0006412)	11/234	5.10830655649132E-11	1.841544513615121E-8	0	0	21.146422304542796	501.1187820324968	RPL4;RPS4X;EEF1A1;RPS26;RPL5;RPL7A;RPL3;EEF1D;RACK1;RPSA;EEF2
Macromolecule Biosynthetic Process (GO:0009059)	10/183	9.56206990631175E-11	2.2980841341502573E-8	0	0	24.314352478169965	560.9474735257434	RPL4;RPS4X;EEF1A1;RPS26;RPL5;RPL7A;RPL3;EEF1D;RPSA;EEF2
Regulation Of Translation (GO:0006417)	9/202	5.412944877237234E-9	9.756833141220114E-7	0	0	19.18717616580311	365.2177780896279	RPS4X;RPL5;CSDE1;RACK1;EEF2;BZW1;GAPDH;EIF1B;EIF1
Peptide Biosynthetic Process (GO:0043043)	8/158	1.5107796050191235E-8	2.178544190437576E-6	0	0	21.543401360544216	387.9547551151589	RPL4;RPS4X;EEF1A1;RPS26;RPL5;RPL7A;RPL3;RPSA
Gene Expression (GO:0010467)	8/296	1.8446181639871312E-6	2.2166161603912027E-4	0	0	11.142290249433106	147.11431291507725	RPL4;RPS4X;EEF1A1;RPS26;RPL5;RPL7A;RPL3;RPSA
Translational Elongation (GO:0006414)	4/42	6.119919069279261E-6	6.303516641357639E-4	0	0	39.53326713008938	474.5558239322869	EEF1A1;EEF1D;RACK1;EEF2
Cellular Response To Cytokine Stimulus (GO:0071345)	7/308	2.6229390099069064E-5	0.0023639237826785994	0	0	9.135813953488372	96.37032129394798	NFKBIA;DUSP1;GAPDH;HIF1A;NFKB1;HLA-DPA1;ZFP36L1
Regulation Of Translational Initiation (GO:0006446)	4/65	3.5258895052843555E-5	0.002824629259233356	0	0	24.59882462109496	252.20664996163072	CSDE1;BZW1;EIF1B;EIF1
Cellular Response To Hypoxia (GO:0071456)	4/72	5.278977419516018E-5	0.0036529822639019783	0	0	22.058823529411764	217.26161154165067	MYC;PMAIP1;HIF1A;ZFP36L1
Cellular Response To Decreased Oxygen Levels (GO:0036294)	4/73	5.573204563512033E-5	0.0036529822639019783	0	0	21.73803664205633	212.92309615096858	MYC;PMAIP1;HIF1A;ZFP36L1
NIK/NF-kappaB Signaling (GO:0038061)	3/32	1.0265148746489614E-4	0.0061676435385158435	0	0	38.14942528735632	350.3708424898269	NFKBIA;NFKB1;NFKB2
Negative Regulation Of p38MAPK Cascade (GO:1903753)	2/6	1.1882605719638103E-4	0.006352243529729663	0	0	181.26363636363635	1638.2335266199009	DUSP1;EZR
Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	3/34	1.2334453455785754E-4	0.006352243529729663	0	0	35.68458781362007	321.1801683394773	PMAIP1;HIF1A;NFKB1
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	5/174	1.3664112948742836E-4	0.006567883624029057	0	0	11.25056895766955	100.10927899242988	RPS4X;RPL5;HSP90AB1;EEF2;HIF1A
Regulation Of Erythrocyte Differentiation (GO:0045646)	3/36	1.4657894246957132E-4	0.006605213595035057	0	0	33.51851851851852	295.89968549860976	HMGB2;HIF1A;ZFP36L1
Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873)	3/37	1.591904556901494E-4	0.006751548150152807	0	0	32.53104575163399	284.4973080396437	DUSP1;MYC;EZR
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	3/39	1.8648340120149071E-4	0.007469696237015267	0	0	30.72067901234568	263.8036417201609	MYC;RACK1;PMAIP1
Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204)	2/8	2.209978321123756E-4	0.008166516097986609	0	0	120.83030303030303	1017.0718774900829	RACK1;HIF1A
Negative Regulation Of MAPK Cascade (GO:0043409)	4/105	2.2876085101329263E-4	0.008166516097986609	0	0	14.826826078834298	124.29081314853605	RGS2;DUSP1;MYC;EZR
Positive Regulation Of Protein Metabolic Process (GO:0051247)	5/196	2.378596921743672E-4	0.008166516097986609	0	0	9.943616592831253	82.96784232718299	RPS4X;NFKBIA;RPL5;EZR;EEF2
Positive Regulation Of Translation (GO:0045727)	4/108	2.548432757496265E-4	0.008351909173430943	0	0	14.396952104499274	119.13278910178093	RPS4X;RPL5;CSDE1;EEF2
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	3/45	2.86063373238258E-4	0.008771659821139793	0	0	26.324074074074073	214.78594354143334	NFKBIA;NFKB1;NFKB2
Regulation Of Gene Expression (GO:0010468)	11/1127	2.919831285816297E-4	0.008771659821139793	0	0	4.03414757674926	32.833178938803876	KDM6B;RPL5;MYC;RACK1;RHOH;EZR;BACH1;HIF1A;NFKB1;ZFP36L1;NFKB2
