Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation Of Protein Metabolic Process (GO:0051248)	4/147	1.8485203129031983E-5	0.006821039954612802	0	0	30.823620823620825	335.9324637752937	DHFR;HSP90AB1;GAPDH;NFKB1
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172)	2/11	6.314522336867865E-5	0.007879968737395805	0	0	221.87777777777777	2145.5743861743645	HSP90AB1;NFKB1
Regulation Of Translation (GO:0006417)	4/202	6.406478648289273E-5	0.007879968737395805	0	0	22.199775533108866	214.35250112574823	DHFR;EEF2;BZW1;GAPDH
Regulation Of Stem Cell Proliferation (GO:0072091)	2/16	1.3731388963879662E-4	0.012667206319178989	0	0	142.6	1268.176179092661	HMGB2;ZFP36L1
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	3/137	4.401628995495056E-4	0.027707919197880796	0	0	23.382560879811468	180.70898085784813	DHFR;GAPDH;NFKB1
Negative Regulation Of Gene Expression (GO:0010629)	4/336	4.5053527151025683E-4	0.027707919197880796	0	0	13.149933065595716	101.32120986184898	SRGN;DHFR;GAPDH;NFKB1
Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	2/34	6.342971648874719E-4	0.032811700417296766	0	0	62.33125	458.94455736927694	PMAIP1;NFKB1
Regulation Of Erythrocyte Differentiation (GO:0045646)	2/36	7.113647786947809E-4	0.032811700417296766	0	0	58.65882352941176	425.1782293491763	HMGB2;ZFP36L1
Cell Chemotaxis (GO:0060326)	2/50	0.001370383663162003	0.05618573018964212	0	0	41.520833333333336	273.7329252658829	RHOG;HMGB2
Apoptotic Process (GO:0006915)	3/228	0.0019185145249015745	0.06995681338341153	0	0	13.861754385964913	86.72196430853442	PMAIP1;EMP3;GAPDH
Cellular Response To Hypoxia (GO:0071456)	2/72	0.0028178228656184404	0.06995681338341153	0	0	28.44	166.99372823811356	PMAIP1;ZFP36L1
