Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Protein Metabolic Process (GO:0051246)	4/96	6.87126839580342E-6	0.0030577144361325216	0	0	39.29249011857708	467.1154816483118	RBM3;NFKBIA;HSP90AB1;NFKB1
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172)	2/11	8.873438171949139E-5	0.019743399932586836	0	0	184.86111111111111	1724.7288639352953	HSP90AB1;NFKB1
Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)	3/80	1.4993537370933273E-4	0.022240413766884355	0	0	33.7046866177301	296.7800859984811	CDKN1A;RGS2;DUSP1
Regulation Of Lipid Storage (GO:0010883)	2/21	3.3610896412624667E-4	0.037392122259044945	0	0	87.5219298245614	700.0069722356327	NFKBIA;NFKB1
Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743)	2/30	6.912391650978139E-4	0.04393719399924565	0	0	59.36309523809524	431.9867091057638	NFKBIA;NFKB1
NIK/NF-kappaB Signaling (GO:0038061)	2/32	7.869138060340859E-4	0.04393719399924565	0	0	55.4	395.96550781067924	NFKBIA;NFKB1
Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)	2/33	8.370138351955578E-4	0.04393719399924565	0	0	53.61021505376344	379.86429025408376	NFKBIA;NFKB1
Positive Regulation Of Protein Kinase Activity (GO:0045860)	3/145	8.58721375452031E-4	0.04393719399924565	0	0	18.216778934476423	128.61166245539704	CDKN1A;HSP90AB1;SNX9
Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	2/34	8.886174067263165E-4	0.04393719399924565	0	0	51.932291666666664	364.8681683209649	PMAIP1;NFKB1
Regulation Of p38MAPK Cascade (GO:1900744)	2/37	0.0010524125093276033	0.046832356665078345	0	0	47.47380952380952	325.5122513580588	GADD45B;DUSP1
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	2/45	0.0015544397883284894	0.06288415507328889	0	0	38.62596899224806	249.7802385575595	NFKBIA;NFKB1
Negative Regulation Of MAP Kinase Activity (GO:0043407)	2/51	0.00199236946765875	0.0734123215799606	0	0	33.886054421768705	210.71807980632997	RGS2;DUSP1
Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	2/53	0.002149889115667816	0.0734123215799606	0	0	32.55392156862745	199.95722245370158	CDKN1A;HSP90AB1
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	2/63	0.003022776595278269	0.0734123215799606	0	0	27.203551912568305	157.8235682211173	CDKN1A;BACH1
Positive Regulation Of Programmed Cell Death (GO:0043068)	3/245	0.0038336444471175463	0.0734123215799606	0	0	10.635285662953647	59.174084669338185	GADD45B;LAPTM5;PMAIP1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	4/525	0.004435200201598015	0.0734123215799606	0	0	6.788693072762171	36.78237816054328	HSP90AB1;LAPTM5;DDX21;PMAIP1
Regulation Of NIK/NF-kappaB Signaling (GO:1901222)	2/83	0.005183773071017698	0.0734123215799606	0	0	20.46604938271605	107.69689727487204	NFKBIA;LAPTM5
Negative Regulation Of Cell Cycle (GO:0045786)	2/85	0.005429511342795264	0.0734123215799606	0	0	19.970883534136547	104.16625407098388	CDKN1A;DUSP1
Negative Regulation Of Binding (GO:0051100)	2/86	0.005554362126674421	0.0734123215799606	0	0	19.732142857142858	102.47240569174454	NFKBIA;CDKN1A
Negative Regulation Of Meiotic Cell Cycle (GO:0051447)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	DUSP1
Negative Regulation Of Monocyte Chemotaxis (GO:0090027)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	DUSP1
Regulation Of Hyaluronan Biosynthetic Process (GO:1900125)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	NFKB1
Regulation Of Mitotic Spindle Checkpoint (GO:1903504)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	DUSP1
Negative Regulation Of Vitamin Metabolic Process (GO:0046137)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	NFKB1
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	HSP90AB1
Cellular Response To Cold (GO:0070417)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	NFKBIA
Regulation Of Vitamin D Biosynthetic Process (GO:0060556)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	NFKB1
Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	NFKB1
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043)	1/5	0.006483689369798885	0.0734123215799606	0	0	199.7	1006.1815770136444	PMAIP1
Gene Expression (GO:0010467)	3/296	0.006484855124351771	0.0734123215799606	0	0	8.761388930108325	44.142381448673156	RBM3;RPS4Y1;RPS10
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	5/938	0.00648861669604471	0.0734123215799606	0	0	4.8591333639565155	24.47888488884966	KDM6B;NFKBIA;DDX21;GABPB1;NFKB1
Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)	2/94	0.006600284483977989	0.0734123215799606	0	0	18.009057971014492	90.41704232490787	RBM3;RBFOX2
Regulation Of Cell Cycle (GO:0051726)	3/298	0.006606304543393317	0.0734123215799606	0	0	8.701105379513633	43.67720712046369	CDKN1A;HSP90AB1;GADD45B
Cellular Response To Cytokine Stimulus (GO:0071345)	3/308	0.00723402380155899	0.0734123215799606	0	0	8.411546685673557	41.46017593401721	NFKBIA;DUSP1;NFKB1
Negative Regulation Of p38MAPK Cascade (GO:1903753)	1/6	0.007775574144635047	0.0734123215799606	0	0	159.752	775.8783981291459	DUSP1
Positive Regulation Of Receptor Catabolic Process (GO:2000646)	1/6	0.007775574144635047	0.0734123215799606	0	0	159.752	775.8783981291459	LAPTM5
Positive Regulation Of Striated Muscle Contraction (GO:0045989)	1/6	0.007775574144635047	0.0734123215799606	0	0	159.752	775.8783981291459	RGS2
Cleavage Furrow Formation (GO:0036089)	1/6	0.007775574144635047	0.0734123215799606	0	0	159.752	775.8783981291459	SNX9
Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902237)	1/6	0.007775574144635047	0.0734123215799606	0	0	159.752	775.8783981291459	PMAIP1
Positive Regulation Of Kinase Activity (GO:0033674)	2/104	0.008023580368995654	0.0734123215799606	0	0	16.235294117647058	78.34130972718806	CDKN1A;SNX9
