Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	13/93	2.6909825231532943E-22	6.189259803252576E-20	0	0	146.8778409090909	7294.976681924602	RPL41;RPLP1;RPL34;RPS27;RPS29;RPL37A;RPL36;RPLP2;RPL38;RPL37;RPS2;RPL39;RPS21
Peptide Biosynthetic Process (GO:0043043)	13/158	3.587407150372715E-19	4.125518222928622E-17	0	0	80.77115987460814	3430.4874262786416	RPL41;RPLP1;RPL34;RPS27;RPS29;RPL37A;RPL36;RPLP2;RPL38;RPL37;RPS2;RPL39;RPS21
Macromolecule Biosynthetic Process (GO:0009059)	13/183	2.5338095417364672E-18	1.9425873153312916E-16	0	0	68.80614973262033	2787.80554114251	RPL41;RPLP1;RPL34;RPS27;RPS29;RPL37A;RPL36;RPLP2;RPL38;RPL37;RPS2;RPL39;RPS21
Translation (GO:0006412)	13/234	6.471336207419146E-17	3.721018319266009E-15	0	0	52.79144385026738	1967.8836337611367	RPL41;RPLP1;RPL34;RPS27;RPS29;RPL37A;RPL36;RPLP2;RPL38;RPL37;RPS2;RPL39;RPS21
Gene Expression (GO:0010467)	13/296	1.38524334051383E-15	6.372119366363618E-14	0	0	41.09637006103437	1406.0260228333182	RPL41;RPLP1;RPL34;RPS27;RPS29;RPL37A;RPL36;RPLP2;RPL38;RPL37;RPS2;RPL39;RPS21
Regulation Of Actin Polymerization Or Depolymerization (GO:0008064)	2/27	0.0010159428226569002	0.03894447486851451	0	0	48.339393939393936	333.15211605803563	COTL1;PFN1
Regulation Of Protein Polymerization (GO:0032271)	2/33	0.001518227682603437	0.04988462385697007	0	0	38.971652003910066	252.93426879222204	COTL1;PFN1
Positive Regulation Of Biosynthetic Process (GO:0009891)	2/44	0.0026875484631988683	0.07497890559976741	0	0	28.748917748917748	170.16846228973165	CYBA;VIM
Regulation Of Fibroblast Proliferation (GO:0048145)	2/46	0.0029339571756430726	0.07497890559976741	0	0	27.439393939393938	160.01016949426773	FTH1;S100A6
Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)	2/51	0.00359455426830563	0.08267474817102949	0	0	24.633271490414348	138.64431104204218	PFN1;S100A10
Regulation Of Actin Filament Polymerization (GO:0030833)	2/70	0.006668439718436583	0.1334829978928837	0	0	17.733511586452764	88.8514433052951	COTL1;PFN1
Regulation Of Stress Fiber Assembly (GO:0051492)	2/75	0.007620741663681861	0.1334829978928837	0	0	16.514736405147364	80.54041381952409	PFN1;S100A10
Inflammatory Response (GO:0006954)	3/236	0.008038193848120635	0.1334829978928837	0	0	7.939377682403434	38.29599210168294	CYBA;FOS;LYZ
Hydrogen Peroxide Biosynthetic Process (GO:0050665)	1/5	0.008720202703732128	0.1334829978928837	0	0	146.77205882352942	696.0096581675563	CYBA
Regulation Of Plasma Membrane Repair (GO:1905684)	1/5	0.008720202703732128	0.1334829978928837	0	0	146.77205882352942	696.0096581675563	S100A10
Defense Response To Gram-positive Bacterium (GO:0050830)	2/85	0.009697514673034974	0.1334829978928837	0	0	14.517707192405988	67.3024303799694	LYZ;RPL39
Intracellular Sequestering Of Iron Ion (GO:0006880)	1/6	0.010455365255350332	0.1334829978928837	0	0	117.41176470588235	535.4727918518732	FTH1
Vesicle Organization (GO:0016050)	2/94	0.011757349349970485	0.1334829978928837	0	0	13.091567852437418	58.16945915571359	SRGN;S100A10
Positive Regulation Of Plasminogen Activation (GO:0010756)	1/7	0.012187578068480686	0.1334829978928837	0	0	97.83823529411765	431.20617589056735	S100A10
Cytochrome Complex Assembly (GO:0017004)	1/7	0.012187578068480686	0.1334829978928837	0	0	97.83823529411765	431.20617589056735	CYBA
Endonucleolytic Cleavage In ITS1 To Separate SSU-rRNA From 5.8S rRNA And LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	1/7	0.012187578068480686	0.1334829978928837	0	0	97.83823529411765	431.20617589056735	RPS21
Antimicrobial Humoral Response (GO:0019730)	2/100	0.013227983272248344	0.13829255239168725	0	0	12.286332714904143	53.14355844722063	LYZ;RPL39
Cellular Response To Muramyl Dipeptide (GO:0071225)	1/8	0.013916845835577172	0.1391684583557717	0	0	83.85714285714286	358.4603752954014	VIM
rRNA 3'-End Processing (GO:0031125)	1/9	0.015643173290839224	0.14991374403720925	0	0	73.37132352941177	305.0574683216414	RPS21
Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034135)	1/10	0.017366565196546502	0.15298540549547254	0	0	65.2156862745098	264.33277144453854	CYBA
Ribonucleoprotein Complex Biogenesis (GO:0022613)	2/118	0.018089083838522407	0.15298540549547254	0	0	10.37042842215256	41.61079052739414	RPS27;RPL38
Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)	1/12	0.02080456145623845	0.15298540549547254	0	0	53.35294117647059	206.61369382894844	UQCR11
Positive Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903428)	1/12	0.02080456145623845	0.15298540549547254	0	0	53.35294117647059	206.61369382894844	CYBA
Positive Regulation Of Ruffle Assembly (GO:1900029)	1/12	0.02080456145623845	0.15298540549547254	0	0	53.35294117647059	206.61369382894844	PFN1
Response To Muramyl Dipeptide (GO:0032495)	1/12	0.02080456145623845	0.15298540549547254	0	0	53.35294117647059	206.61369382894844	VIM
Negative Regulation Of Bone Mineralization (GO:0030502)	1/13	0.022519175374063307	0.15298540549547254	0	0	48.904411764705884	185.51341332613868	SRGN
Endonucleolytic Cleavage Of Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	1/13	0.022519175374063307	0.15298540549547254	0	0	48.904411764705884	185.51341332613868	RPS21
Membrane Raft Organization (GO:0031579)	1/14	0.02423087286505986	0.15298540549547254	0	0	45.14027149321267	167.92757529985917	S100A10
DNA Alkylation (GO:0006305)	1/15	0.025939658708656763	0.15298540549547254	0	0	41.91386554621849	153.06869330263612	FOS
Negative Regulation Of DNA Replication (GO:0008156)	1/15	0.025939658708656763	0.15298540549547254	0	0	41.91386554621849	153.06869330263612	S100A11
Positive Regulation Of Collagen Biosynthetic Process (GO:0032967)	1/15	0.025939658708656763	0.15298540549547254	0	0	41.91386554621849	153.06869330263612	VIM
Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)	1/16	0.027645537688029766	0.15298540549547254	0	0	39.11764705882353	140.36549891248842	S100A11
Positive Regulation Of Collagen Metabolic Process (GO:0010714)	1/16	0.027645537688029766	0.15298540549547254	0	0	39.11764705882353	140.36549891248842	VIM
Regulation Of Plasminogen Activation (GO:0010755)	1/16	0.027645537688029766	0.15298540549547254	0	0	39.11764705882353	140.36549891248842	S100A10
protein-RNA Complex Assembly (GO:0022618)	2/150	0.028283833151998863	0.15298540549547254	0	0	8.115069615069615	28.933995908334047	RPS27;RPL38
Negative Regulation Of Fibroblast Proliferation (GO:0048147)	1/17	0.029348514575720203	0.15298540549547254	0	0	36.67095588235294	129.39395719366985	FTH1
Intracellular Estrogen Receptor Signaling Pathway (GO:0030520)	1/17	0.029348514575720203	0.15298540549547254	0	0	36.67095588235294	129.39395719366985	RBFOX2
Ribosomal Small Subunit Assembly (GO:0000028)	1/17	0.029348514575720203	0.15298540549547254	0	0	36.67095588235294	129.39395719366985	RPS27
Regulation Of Collagen Biosynthetic Process (GO:0032965)	1/18	0.031048594155870846	0.15298540549547254	0	0	34.5121107266436	119.83301120641357	VIM
Positive Regulation Of Focal Adhesion Assembly (GO:0051894)	1/18	0.031048594155870846	0.15298540549547254	0	0	34.5121107266436	119.83301120641357	S100A10
Superoxide Anion Generation (GO:0042554)	1/19	0.03274578118305316	0.15298540549547254	0	0	32.59313725490196	111.43532169951338	CYBA
Regulation Of Smooth Muscle Cell Migration (GO:0014910)	1/19	0.03274578118305316	0.15298540549547254	0	0	32.59313725490196	111.43532169951338	S100A11
DNA Methylation (GO:0006306)	1/20	0.03444008042248791	0.15298540549547254	0	0	30.876160990712073	104.00740624656505	FOS
Positive Regulation Of Protein Processing (GO:0010954)	1/20	0.03444008042248791	0.15298540549547254	0	0	30.876160990712073	104.00740624656505	S100A10
Maturation Of 5.8S rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	1/21	0.03613149663654638	0.15298540549547254	0	0	29.330882352941178	97.3958437550943	RPS21
Response To Cadmium Ion (GO:0046686)	1/21	0.03613149663654638	0.15298540549547254	0	0	29.330882352941178	97.3958437550943	FOS
Innate Immune Response In Mucosa (GO:0002227)	1/21	0.03613149663654638	0.15298540549547254	0	0	29.330882352941178	97.3958437550943	RPL39
Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)	1/21	0.03613149663654638	0.15298540549547254	0	0	29.330882352941178	97.3958437550943	RPL37
Negative Regulation Of Biomineral Tissue Development (GO:0070168)	1/21	0.03613149663654638	0.15298540549547254	0	0	29.330882352941178	97.3958437550943	SRGN
Cellular Response To Cadmium Ion (GO:0071276)	1/22	0.037820034565529	0.15298540549547254	0	0	27.932773109243698	91.47749401004982	FOS
Negative Regulation Of Actin Filament Polymerization (GO:0030837)	1/23	0.039505698961667265	0.15298540549547254	0	0	26.66176470588235	86.15243597600474	PFN1
Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117)	1/23	0.039505698961667265	0.15298540549547254	0	0	26.66176470588235	86.15243597600474	S100A10
Regulation Of Ruffle Assembly (GO:1900027)	1/24	0.04118849455469982	0.15298540549547254	0	0	25.501278772378516	81.33878492786673	PFN1
Negative Regulation Of Ossification (GO:0030279)	1/24	0.04118849455469982	0.15298540549547254	0	0	25.501278772378516	81.33878492786673	SRGN
Iron Ion Transport (GO:0006826)	1/24	0.04118849455469982	0.15298540549547254	0	0	25.501278772378516	81.33878492786673	FTH1
ATP Biosynthetic Process (GO:0006754)	1/25	0.04286842608229688	0.15298540549547254	0	0	24.4375	76.96883173102468	ATP5F1E
Negative Regulation Of Stress Fiber Assembly (GO:0051497)	1/25	0.04286842608229688	0.15298540549547254	0	0	24.4375	76.96883173102468	PFN1
Secretory Granule Organization (GO:0033363)	1/25	0.04286842608229688	0.15298540549547254	0	0	24.4375	76.96883173102468	SRGN
Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426)	1/26	0.04454549826752674	0.15298540549547254	0	0	23.458823529411763	72.98612815583363	CYBA
Negative Regulation Of Protein Polymerization (GO:0032272)	1/26	0.04454549826752674	0.15298540549547254	0	0	23.458823529411763	72.98612815583363	PFN1
Regulation Of Actin Filament Bundle Assembly (GO:0032231)	1/26	0.04454549826752674	0.15298540549547254	0	0	23.458823529411763	72.98612815583363	PFN1
Positive Regulation Of Protein Metabolic Process (GO:0051247)	2/196	0.04602087418135376	0.15298540549547254	0	0	6.176507341455795	19.015367320179756	VIM;OAZ1
Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443)	1/27	0.046219715818065006	0.15298540549547254	0	0	22.555429864253394	69.34325924679375	RPS2
Mucosal Immune Response (GO:0002385)	1/28	0.04789108345945227	0.15298540549547254	0	0	21.718954248366014	66.00012158056954	RPL39
Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232)	1/28	0.04789108345945227	0.15298540549547254	0	0	21.718954248366014	66.00012158056954	PFN1
Negative Regulation Of Cytoskeleton Organization (GO:0051494)	1/28	0.04789108345945227	0.15298540549547254	0	0	21.718954248366014	66.00012158056954	PFN1
Positive Regulation Of Fibroblast Proliferation (GO:0048146)	1/28	0.04789108345945227	0.15298540549547254	0	0	21.718954248366014	66.00012158056954	S100A6
Defense Response To Bacterium (GO:0042742)	2/204	0.049436276613114706	0.15403661285633044	0	0	5.9294929492949295	17.830404987401263	LYZ;RPL39
Integrated Stress Response Signaling (GO:0140467)	1/29	0.049559605875515014	0.15403661285633044	0	0	20.942226890756302	62.922578788316876	FOS
Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	1/30	0.05122528778496298	0.1550238972439669	0	0	20.219066937119674	60.081401552176004	RPS21
Nucleic Acid Metabolic Process (GO:0090304)	1/30	0.05122528778496298	0.1550238972439669	0	0	20.219066937119674	60.081401552176004	RBFOX2
Transition Metal Ion Transport (GO:0000041)	1/32	0.05454814878289681	0.15881106607678816	0	0	18.91271347248577	55.01087072997707	FTH1
Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438)	1/32	0.05454814878289681	0.15881106607678816	0	0	18.91271347248577	55.01087072997707	RPS2
Vesicle Budding From Membrane (GO:0006900)	1/32	0.05454814878289681	0.15881106607678816	0	0	18.91271347248577	55.01087072997707	S100A10
Superoxide Metabolic Process (GO:0006801)	1/34	0.05785970388450594	0.16634664866795457	0	0	17.764705882352942	50.624688080382775	CYBA
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	1/35	0.05951125338835313	0.16889506406184027	0	0	17.241349480968857	48.64801672574411	S100A10
Regulation Of Intracellular Protein Transport (GO:0033157)	1/36	0.06115999039954628	0.16889506406184027	0	0	16.747899159663866	46.798019121040575	OAZ1
Positive Regulation Of Exocytosis (GO:0045921)	1/37	0.06280591956350945	0.16889506406184027	0	0	16.28186274509804	45.063408386674496	S100A10
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	3/525	0.0633737818410716	0.16889506406184027	0	0	3.491918103448276	9.633172066704155	S100A4;RPL37;HCST
mRNA Transcription By RNA Polymerase II (GO:0042789)	1/38	0.06444904551606453	0.16889506406184027	0	0	15.84101748807631	43.434174723270786	S100A10
Membrane Assembly (GO:0071709)	1/38	0.06444904551606453	0.16889506406184027	0	0	15.84101748807631	43.434174723270786	S100A10
Positive Regulation Of Intracellular Transport (GO:0032388)	1/39	0.06608937289376358	0.16889506406184027	0	0	15.423374613003096	41.901411617706714	OAZ1
Positive Regulation Of ATP-dependent Activity (GO:0032781)	1/39	0.06608937289376358	0.16889506406184027	0	0	15.423374613003096	41.901411617706714	PFN1
