Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Defense Response (GO:0006968)	3/48	4.536943632107547E-5	0.004938345600368381	0	0	51.09230769230769	510.9574052524884	TYROBP;GNLY;PRF1
Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379)	3/48	4.536943632107547E-5	0.004938345600368381	0	0	51.09230769230769	510.9574052524884	TYROBP;ITGB2;CYBA
Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	3/51	5.446704706288655E-5	0.004938345600368381	0	0	47.89182692307692	470.19787061025613	TYROBP;HLA-C;KLRD1
Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888)	2/12	1.3278088986713745E-4	0.00828457600850693	0	0	147.85925925925926	1319.9115485815607	TYROBP;ITGB2
Positive Regulation Of Superoxide Anion Generation (GO:0032930)	2/13	1.567819481163321E-4	0.00828457600850693	0	0	134.41077441077442	1177.5263669114754	TYROBP;ITGB2
Regulation Of Superoxide Anion Generation (GO:0032928)	2/14	1.8274800018765286E-4	0.00828457600850693	0	0	123.20370370370371	1060.463855229038	TYROBP;ITGB2
Regulation Of Natural Killer Cell Activation (GO:0032814)	2/16	2.4055368393234716E-4	0.009139676429953711	0	0	105.5925925925926	879.8573815525979	TYROBP;KLRD1
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223)	2/19	3.418661725917297E-4	0.009139676429953711	0	0	86.94553376906318	693.9202349386427	TYROBP;KLRD1
Cellular Response To Lectin (GO:1990858)	2/19	3.418661725917297E-4	0.009139676429953711	0	0	86.94553376906318	693.9202349386427	TYROBP;KLRD1
Inflammatory Response (GO:0006954)	4/236	3.5597269772949893E-4	0.009139676429953711	0	0	13.613103448275861	108.09697867882029	ITGB2;CYBA;LYZ;S100A9
Microglial Cell Activation (GO:0001774)	2/20	3.795101348772626E-4	0.009139676429953711	0	0	82.11111111111111	646.758779988934	TYROBP;ITGB2
Antimicrobial Humoral Response (GO:0019730)	3/100	4.032210189685461E-4	0.009139676429953711	0	0	23.640761300555116	184.7767981808264	GNLY;LYZ;S100A9
Natural Killer Cell Mediated Immunity (GO:0002228)	2/22	4.605759965452021E-4	0.009636667004638074	0	0	73.89259259259259	567.7192040967302	NKG7;KLRD1
