Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immunoglobulin Mediated Immune Response (GO:0016064)	3/30	2.0415807327257887E-6	5.287694097759793E-4	0	0	158.38095238095238	2075.0733732670315	CD74;HLA-DRA;HLA-DRB1
Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)	2/5	6.789684747717526E-6	7.020151785024186E-4	0	0	888.0	10567.294169184646	HLA-DRA;HLA-DRB1
Regulation Of T-helper Cell Differentiation (GO:0045622)	2/6	1.0179480503462377E-5	7.020151785024186E-4	0	0	665.9666666666667	7655.377790553264	HLA-DRA;HLA-DRB1
Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)	2/7	1.4244198490555207E-5	7.020151785024186E-4	0	0	532.7466666666667	5945.00574969243	HLA-DRA;HLA-DRB1
Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	2/7	1.4244198490555207E-5	7.020151785024186E-4	0	0	532.7466666666667	5945.00574969243	HLA-DRA;HLA-DRB1
Positive Regulation Of Memory T Cell Differentiation (GO:0043382)	2/8	1.8982825688105916E-5	7.020151785024186E-4	0	0	443.93333333333334	4826.432500640291	HLA-DRA;HLA-DRB1
Regulation Of Translation (GO:0006417)	4/202	2.168556037080502E-5	7.020151785024186E-4	0	0	30.745920745920746	330.17625958843547	RBM3;CIRBP;EEF2;GAPDH
Positive Regulation Of Monocyte Differentiation (GO:0045657)	2/9	2.4394349832130377E-5	7.020151785024186E-4	0	0	380.4952380952381	4041.30042892081	CD74;HLA-DRB1
Regulation Of Memory T Cell Differentiation (GO:0043380)	2/9	2.4394349832130377E-5	7.020151785024186E-4	0	0	380.4952380952381	4041.30042892081	HLA-DRA;HLA-DRB1
Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)	2/11	3.723204414400794E-5	7.710636193803345E-4	0	0	295.9111111111111	3017.8023474852107	HLA-DRA;HLA-DRB1
Positive Regulation Of Gene Expression (GO:0010628)	5/480	3.80043674372623E-5	7.710636193803345E-4	0	0	17.112280701754386	174.16553261867443	RBM3;CD74;CIRBP;EEF2;GAPDH
Positive Regulation Of Immune Response (GO:0050778)	3/80	4.024457947391553E-5	7.710636193803345E-4	0	0	55.39703153988868	560.6476095930333	CD74;HLA-DRA;HLA-DRB1
Positive Regulation By Symbiont Of Entry Into Host (GO:0075294)	2/12	4.4656194172606244E-5	7.710636193803345E-4	0	0	266.3066666666667	2667.465395819719	CD74;HLA-DRB1
Positive Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	2/12	4.4656194172606244E-5	7.710636193803345E-4	0	0	266.3066666666667	2667.465395819719	HLA-DRA;HLA-DRB1
Positive Regulation Of Viral Entry Into Host Cell (GO:0046598)	2/12	4.4656194172606244E-5	7.710636193803345E-4	0	0	266.3066666666667	2667.465395819719	CD74;HLA-DRB1
Positive Regulation Of Amide Metabolic Process (GO:0034250)	3/85	4.8253836016492294E-5	7.811089705169691E-4	0	0	52.00609756097561	516.8904358545194	RBM3;CIRBP;EEF2
Regulation Of Immune Effector Process (GO:0002697)	2/13	5.274920091662329E-5	8.036495904356136E-4	0	0	242.0848484848485	2384.5265424278687	HLA-DRA;HLA-DRB1
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/14	6.15100567126949E-5	8.384791941362094E-4	0	0	221.9	2151.6111607602743	HLA-DRA;HLA-DRB1
MHC Class II Protein Complex Assembly (GO:0002399)	2/14	6.15100567126949E-5	8.384791941362094E-4	0	0	221.9	2151.6111607602743	HLA-DRA;HLA-DRB1
Regulation Of Monocyte Differentiation (GO:0045655)	2/15	7.093775487935324E-5	9.186439256876244E-4	0	0	204.82051282051282	1956.7953221838306	CD74;HLA-DRB1
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	2/17	9.178965649455299E-5	0.0011320724300994869	0	0	177.49333333333334	1649.9799686278536	HLA-DRA;HLA-DRB1
Positive Regulation Of Translation (GO:0045727)	3/108	9.854241438813502E-5	0.0011601129693875895	0	0	40.56734693877551	374.23472882435175	RBM3;CIRBP;EEF2
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	1.0321185160705684E-4	0.00116225519853164	0	0	166.39166666666668	1527.2636618368022	HLA-DRA;HLA-DRB1
Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635)	2/19	1.1529687235353156E-4	0.001194475597582587	0	0	156.59607843137255	1420.0132794951876	HLA-DRA;HLA-DRB1
Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	2/19	1.1529687235353156E-4	0.001194475597582587	0	0	156.59607843137255	1420.0132794951876	HLA-DRA;HLA-DRB1
