Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	3.065806191994291E-5	0.004091003448967053	0	0	335.69747899159665	3488.774621564693	MTRNR2L12;MTRNR2L8
Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	4.942569622883086E-5	0.004091003448967053	0	0	259.3376623376623	2571.343322149568	MTRNR2L12;MTRNR2L8
Defense Response To Fungus (GO:0050832)	2/29	7.262136299941514E-5	0.004091003448967053	0	0	211.25925925925927	2013.3538562256686	PLCG2;S100A9
Positive Regulation Of Biosynthetic Process (GO:0009891)	2/44	1.686210753356046E-4	0.007124240432929294	0	0	135.7074829931973	1179.0071406934183	PLCG2;VIM
Antimicrobial Humoral Response (GO:0019730)	2/100	8.70867194754317E-4	0.025404502652320943	0	0	57.99708454810496	408.64867956136595	LYZ;S100A9
Positive Regulation Of Inflammatory Response (GO:0050729)	2/104	9.414164080052198E-4	0.025404502652320943	0	0	55.71148459383753	388.20458857334756	PLCG2;S100A9
Response To Lipid (GO:0033993)	2/110	0.0010522575063091515	0.025404502652320943	0	0	52.6005291005291	360.6722240672687	PLCG2;S100A9
Cellular Response To Lipopolysaccharide (GO:0071222)	2/124	0.0013341663101561672	0.026016644750929404	0	0	46.531615925058546	308.01364310049706	PLCG2;VIM
Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	2/152	0.0019946359176192872	0.026016644750929404	0	0	37.79238095238095	234.96633361806624	PLCG2;S100A9
Response To Lipopolysaccharide (GO:0032496)	2/159	0.0021796519790663136	0.026016644750929404	0	0	36.094631483166516	221.20919963886445	VIM;S100A9
Astrocyte Differentiation (GO:0048708)	1/5	0.00224816055240216	0.026016644750929404	0	0	624.59375	3808.549663430724	S100A9
Autocrine Signaling (GO:0035425)	1/5	0.00224816055240216	0.026016644750929404	0	0	624.59375	3808.549663430724	S100A9
Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)	1/5	0.00224816055240216	0.026016644750929404	0	0	624.59375	3808.549663430724	PLCG2
Regulation Of I-kappaB Phosphorylation (GO:1903719)	1/6	0.0026972559359141816	0.026016644750929404	0	0	499.65	2955.689739283532	PLCG2
Positive Regulation Of Interleukin-23 Production (GO:0032747)	1/6	0.0026972559359141816	0.026016644750929404	0	0	499.65	2955.689739283532	PLCG2
Regulation Of T-helper Cell Differentiation (GO:0045622)	1/6	0.0026972559359141816	0.026016644750929404	0	0	499.65	2955.689739283532	JUNB
Leukocyte Aggregation (GO:0070486)	1/7	0.003146171972763632	0.026016644750929404	0	0	416.3541666666667	2398.8531813701998	S100A9
Defense Response To Bacterium (GO:0042742)	2/204	0.0035554345894270433	0.026016644750929404	0	0	27.99009900990099	157.84394888758456	LYZ;S100A9
Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	1/8	0.003594908666217628	0.026016644750929404	0	0	356.85714285714283	2008.4764659134423	PLCG2
