Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Translation (GO:0006417)	6/202	1.8921566415548725E-5	0.012303081454163855	0	0	12.337984173261141	134.17814672960853	RBM3;RACK1;CIRBP;EEF2;BZW1;GAPDH
Apoptotic Process (GO:0006915)	6/228	3.736553891710659E-5	0.012303081454163855	0	0	10.87865416436845	110.9052867967778	IRF1;GZMA;DDIT4;CXCR4;GAPDH;GZMH
Response To Interferon-Beta (GO:0035456)	3/29	6.83499355409627E-5	0.012303081454163855	0	0	44.19896449704142	423.9065198795576	IFITM1;IFITM2;IRF1
Response To Type II Interferon (GO:0034341)	4/80	6.93131349530358E-5	0.012303081454163855	0	0	20.5046439628483	196.37043536637475	IFITM1;IFITM2;CCL5;GAPDH
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	5/174	1.1512737914382861E-4	0.01634808783842366	0	0	11.701775147928995	106.1289150083064	RBM3;HSP90AB1;CCL5;CIRBP;EEF2
Cellular Response To Cytokine Stimulus (GO:0071345)	6/308	1.953007297112763E-4	0.022503251918010142	0	0	7.964454656034599	68.0241681539523	IFITM2;IRF1;CCL5;CXCR4;GAPDH;ZFP36L1
Positive Regulation Of Translation (GO:0045727)	4/108	2.2186304707897322E-4	0.022503251918010142	0	0	14.963046757164404	125.89084980162004	RBM3;CCL5;CIRBP;EEF2
Negative Regulation Of Transforming Growth Factor Beta Production (GO:0071635)	2/9	2.640178919425577E-4	0.023431587909901994	0	0	107.48247978436657	885.6012133889432	HSP90AB1;TYROBP
Interferon-Mediated Signaling Pathway (GO:0140888)	3/49	3.3148035954491017E-4	0.026150117252987357	0	0	24.956939799331103	199.95355410281164	IFITM1;IFITM2;IRF1
Negative Regulation Of Viral Genome Replication (GO:0045071)	3/53	4.182118158827853E-4	0.028487425526861693	0	0	22.95576923076923	178.58492363100027	IFITM1;IFITM2;CCL5
Translation (GO:0006412)	5/234	4.538133694585593E-4	0.028487425526861693	0	0	8.609606986899564	66.275243813742	RPL4;RPLP0;RACK1;RPS4Y1;EEF2
Positive Regulation Of Protein Localization To Cell Surface (GO:2000010)	2/12	4.814776145385075E-4	0.028487425526861693	0	0	75.22641509433963	574.6283172633098	HSP90AB1;TYROBP
Regulation Of Type I Interferon Production (GO:0032479)	3/59	5.736413587560141E-4	0.031300888125360485	0	0	20.490041208791208	152.92754893311258	TYROBP;IRF1;GAPDH
Negative Regulation Of Viral Process (GO:0048525)	3/61	6.326043846737274E-4	0.031300888125360485	0	0	19.781498673740053	145.7038986781263	IFITM1;IFITM2;CCL5
Defense Response To Symbiont (GO:0140546)	4/148	7.325032958996121E-4	0.031300888125360485	0	0	10.784858387799565	77.85635340437672	IFITM1;IFITM2;IRF1;DDIT4
Dendritic Cell Chemotaxis (GO:0002407)	2/15	7.61944761699299E-4	0.031300888125360485	0	0	57.8577648766328	415.3977202918273	CCL5;CXCR4
