Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response To Cytokine Stimulus (GO:0071345)	7/308	4.641409941856806E-7	2.6456036668583794E-4	0	0	18.294883720930233	266.79570649900626	STAT1;DUSP1;LEF1;GBP2;IL6ST;GBP1;NFKB1
Positive Regulation Of Programmed Cell Death (GO:0043068)	5/245	4.0696304319020976E-5	0.00867518782751206	0	0	15.222222222222221	153.88712648307887	JUN;GADD45B;STK17B;GBP2;GBP1
Response To Cytokine (GO:0034097)	4/125	4.565888330269505E-5	0.00867518782751206	0	0	23.43211334120425	234.18786031397667	STAT1;LEF1;IL6ST;NFKB1
Regulation Of Apoptotic Process (GO:0042981)	7/705	1.0227940927834994E-4	0.014574815822164867	0	0	7.730085959885387	71.02250065772597	JUN;GADD45B;STAT1;STK17B;LEF1;IL6ST;NFKB1
Cellular Response To Type II Interferon (GO:0071346)	3/66	1.5897658786747938E-4	0.017418021744348165	0	0	32.68472906403941	285.88527202108247	STAT1;GBP2;GBP1
Defense Response To Protozoan (GO:0042832)	2/15	2.5704084175112637E-4	0.017418021744348165	0	0	102.33333333333333	845.9155331637611	GBP2;GBP1
Response To Type II Interferon (GO:0034341)	3/80	2.8113069588198456E-4	0.017418021744348165	0	0	26.723242274966413	218.50769157707805	STAT1;GBP2;GBP1
Cellular Response To Interleukin-1 (GO:0071347)	3/81	2.9162678385211534E-4	0.017418021744348165	0	0	26.379310344827587	214.72852823061746	GBP2;GBP1;NFKB1
Positive Regulation By Host Of Viral Transcription (GO:0043923)	2/16	2.9346780620414034E-4	0.017418021744348165	0	0	95.01904761904763	772.8604767574918	JUN;LEF1
Regulation Of Gene Expression (GO:0010468)	8/1127	3.097733956397768E-4	0.017418021744348165	0	0	5.614834673815907	45.36600851541754	NDFIP1;RGCC;DENND4A;LEF1;NFKBIZ;ANK3;TRIM22;NFKB1
Response To Interleukin-1 (GO:0070555)	3/85	3.3613726173303474E-4	0.017418021744348165	0	0	25.087468460891504	200.6493460688477	GBP2;GBP1;NFKB1
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	4/232	4.915588775039062E-4	0.023349046681435545	0	0	12.368421052631579	94.22175136899304	NDFIP1;STAT1;PELI1;TRIM22
Cellular Response To Interleukin-6 (GO:0071354)	2/23	6.144191384293792E-4	0.026939916069595858	0	0	63.32380952380952	468.2690107160292	IL6ST;NFKB1
Cellular Response To Tumor Necrosis Factor (GO:0071356)	3/119	8.981375436486503E-4	0.03463066693014349	0	0	17.703923900118905	124.19634271939077	STAT1;GBP2;GBP1
Positive Regulation Of Defense Response To Virus By Host (GO:0002230)	2/28	9.134163835824553E-4	0.03463066693014349	0	0	51.13333333333333	357.84736390590876	STAT1;TRIM22
Negative Regulation Of DNA Binding (GO:0043392)	2/29	9.800983780770412E-4	0.03463066693014349	0	0	49.237037037037034	341.1071815115415	JUN;LEF1
Positive Regulation Of Cell Differentiation (GO:0045597)	4/283	0.001032844452302525	0.03463066693014349	0	0	10.081413210445469	69.31413832392384	RGCC;LEF1;IL6ST;NFKB1
Protein Localization To Organelle (GO:0033365)	3/137	0.0013485020417344183	0.03952747941336384	0	0	15.311888831703552	101.19261223612881	GBP2;GBP1;RAB11A
Protein Localization To Plasma Membrane (GO:0072659)	3/137	0.0013485020417344183	0.03952747941336384	0	0	15.311888831703552	101.19261223612881	ANK3;RAPGEF6;RAB11A
Protein Localization To Cell Periphery (GO:1990778)	3/142	0.0014946590132675721	0.03952747941336384	0	0	14.757380302654429	96.00940864318952	ANK3;RAPGEF6;RAB11A
Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	2/37	0.0015949684675567865	0.03952747941336384	0	0	37.967619047619046	244.54568735621928	RGCC;STAT1
Regulation Of Defense Response To Virus By Host (GO:0050691)	2/37	0.0015949684675567865	0.03952747941336384	0	0	37.967619047619046	244.54568735621928	STAT1;TRIM22
Regulation Of p38MAPK Cascade (GO:1900744)	2/37	0.0015949684675567865	0.03952747941336384	0	0	37.967619047619046	244.54568735621928	GADD45B;DUSP1
Defense Response To Symbiont (GO:0140546)	3/148	0.0016827399837887418	0.03996507461498262	0	0	14.142449464922711	90.33251820665853	STAT1;GBP2;IFI44L
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	5/557	0.0017781561119656788	0.04054195935281748	0	0	6.513687600644122	41.24583156268224	JUN;KLF6;STAT1;LEF1;NFKB1
Modulation By Host Of Symbiont Process (GO:0051851)	2/42	0.0020517101135482437	0.04358919540091866	0	0	33.21333333333333	205.56003126597253	JUN;LEF1
Response To Lipopolysaccharide (GO:0032496)	3/159	0.002064751361096147	0.04358919540091866	0	0	13.137931034482758	81.22848353695439	PELI1;GBP2;NFKB1
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)	2/47	0.0025631521818335165	0.04767476717403109	0	0	29.515555555555554	176.10507747279536	JUN;STAT1
Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718)	2/47	0.0025631521818335165	0.04767476717403109	0	0	29.515555555555554	176.10507747279536	RGCC;LEF1
Regulation Of DNA Binding (GO:0051101)	2/48	0.0026719299947776556	0.04767476717403109	0	0	28.872463768115942	171.0680261373824	JUN;LEF1
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	3/175	0.002710374142657729	0.04767476717403109	0	0	11.90617481956696	70.3734535759093	NDFIP1;PELI1;TRIM22
Positive Regulation Of Hydrolase Activity (GO:0051345)	3/176	0.0027543940999046135	0.04767476717403109	0	0	11.83675503288818	69.77243656380878	SNX9;RAPGEF6;MAPRE2
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	2/49	0.002782855210824398	0.04767476717403109	0	0	28.25673758865248	166.2704943739133	JUN;NFKB1
Negative Regulation Of Cytokine Production (GO:0001818)	3/178	0.002843758041959749	0.04767476717403109	0	0	11.700295566502463	68.59449031043097	RGCC;LEF1;GBP1
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	6/938	0.0033294314080281806	0.05190786541730623	0	0	4.713436777814461	26.889938763989548	JUN;KLF6;RGCC;STAT1;LEF1;NFKB1
Defense Response To Virus (GO:0051607)	3/189	0.0033673051345520866	0.05190786541730623	0	0	11.00222469410456	62.642734309367825	STAT1;GBP2;IFI44L
Protein K63-linked Ubiquitination (GO:0070534)	2/54	0.003369457930597071	0.05190786541730623	0	0	25.533333333333335	145.3613534547405	PELI1;TRIM22
Protein Localization To Membrane (GO:0072657)	3/192	0.0035196624073399276	0.05279493611009892	0	0	10.825944170771757	61.15998291468426	ANK3;RAPGEF6;RAB11A
Regulation Of Mitotic Nuclear Division (GO:0007088)	2/56	0.0036188970566259425	0.05289157236607146	0	0	24.585185185185185	138.20773235419273	RGCC;DUSP1
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	2/63	0.004557553663264908	0.06372823108517768	0	0	21.756284153005463	117.28745944543243	RGCC;RAB11A
Positive Regulation Of T Cell Differentiation (GO:0045582)	2/64	0.004699892730703645	0.06372823108517768	0	0	21.40430107526882	114.73166839764197	LEF1;HLA-DRA
Regulation Of GTPase Activity (GO:0043087)	3/214	0.004766709673416641	0.06372823108517768	0	0	9.686386664487662	51.78438213841238	SNX9;RAPGEF6;MAPRE2
Protein Polyubiquitination (GO:0000209)	3/226	0.005546272600147634	0.06372823108517768	0	0	9.15957940312355	47.58061844790835	PELI1;ARIH1;TRIM22
Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	2/70	0.005596578143279609	0.06372823108517768	0	0	19.50980392156863	101.17003753488852	RGCC;STAT1
Plasma Membrane Organization (GO:0007009)	2/72	0.00591156675299582	0.06372823108517768	0	0	18.95047619047619	97.23194427288209	SNX9;ANK3
Positive Regulation Of GTPase Activity (GO:0043547)	3/234	0.006106213429107465	0.06372823108517768	0	0	8.838781907747425	45.06407375200773	SNX9;RAPGEF6;MAPRE2
Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	2/77	0.006733758256686371	0.06372823108517768	0	0	17.682666666666666	88.42432943762397	RGCC;STAT1
Negative Regulation Of Apoptotic Process (GO:0043066)	4/482	0.007020316019449056	0.06372823108517768	0	0	5.82486551105798	28.88519961324623	LEF1;MTRNR2L8;IL6ST;NFKB1
Positive Regulation Of Immune Response (GO:0050778)	2/80	0.007250627854701718	0.06372823108517768	0	0	17.0	83.75334262468323	HLA-DRA;IL6ST
Spindle Assembly (GO:0051225)	2/81	0.007426805742962283	0.06372823108517768	0	0	16.78396624472574	82.28607031798515	MAPRE2;RAB11A
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	2/81	0.007426805742962283	0.06372823108517768	0	0	16.78396624472574	82.28607031798515	SNX9;ANK3
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)	2/83	0.007784956021932541	0.06372823108517768	0	0	16.367901234567903	79.47536126412771	RGCC;LEF1
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	MAPRE2
Positive Regulation Of Granulocyte Differentiation (GO:0030854)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	LEF1
L-ascorbic Acid Metabolic Process (GO:0019852)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	SLC2A3
Negative Regulation Of Meiotic Cell Cycle (GO:0051447)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	DUSP1
Regulation Of Focal Adhesion Disassembly (GO:0120182)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	MAPRE2
Negative Regulation Of Monocyte Chemotaxis (GO:0090027)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	DUSP1
Regulation Of Hyaluronan Biosynthetic Process (GO:1900125)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	NFKB1
T-helper 1 Cell Differentiation (GO:0045063)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	LEF1
Hexose Import Across Plasma Membrane (GO:0140271)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	SLC2A3
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	JUN
Interleukin-27-Mediated Signaling Pathway (GO:0070106)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	STAT1
Regulation Of Mitotic Spindle Checkpoint (GO:1903504)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	DUSP1
Negative Regulation Of Vitamin Metabolic Process (GO:0046137)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	NFKB1
Mesenchymal Cell Differentiation Involved In Kidney Development (GO:0072161)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	STAT1
Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	HLA-DRA
Regulation Of Vitamin D Biosynthetic Process (GO:0060556)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	NFKB1
Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558)	1/5	0.007975146000148757	0.06372823108517768	0	0	161.0	777.8594770432692	NFKB1
Negative Regulation Of Angiogenesis (GO:0016525)	2/86	0.008336574343939954	0.06372823108517768	0	0	15.780952380952382	75.54504286216243	RGCC;STAT1
Negative Regulation Of Binding (GO:0051100)	2/86	0.008336574343939954	0.06372823108517768	0	0	15.780952380952382	75.54504286216243	JUN;LEF1
Positive Regulation Of Apoptotic Process (GO:0043065)	3/270	0.009038632337105348	0.06372823108517768	0	0	7.633087950406819	35.923200367644945	JUN;GADD45B;STK17B
Regulation Of Extracellular Matrix Assembly (GO:1901201)	1/6	0.00956277225126547	0.06372823108517768	0	0	128.79354838709676	598.8742368950442	RGCC
Negative Regulation Of p38MAPK Cascade (GO:1903753)	1/6	0.00956277225126547	0.06372823108517768	0	0	128.79354838709676	598.8742368950442	DUSP1
Interleukin-9-Mediated Signaling Pathway (GO:0038113)	1/6	0.00956277225126547	0.06372823108517768	0	0	128.79354838709676	598.8742368950442	STAT1
Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887)	1/6	0.00956277225126547	0.06372823108517768	0	0	128.79354838709676	598.8742368950442	RAB11A
Macrophage Derived Foam Cell Differentiation (GO:0010742)	1/6	0.00956277225126547	0.06372823108517768	0	0	128.79354838709676	598.8742368950442	STAT1
